,text,negative&positive,depression
3846,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3847,rt ct101st my voice may be quiet in a world of noise stop killing your own people syria httpstcoaajloe0ehj,[ 0.89185274  0.10814723],negative
3848,"dear brothers and sisters 

please dont forget to pray for our brothers and sisters in syria  ",[ 0.0828196   0.91718042],positive
3849,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
3850,"rt metesohtaoglu victim of the gas attacks in the syrian city of khansheikhoun syriaevacuated to reyhanli turkey
  httpstco",[ 0.89185274  0.10814723],negative
3851,rt realeaglebites but but obama swore he got rid of all chemical weapons in syria in his deal with russia  50 dead in massacre  http,[ 0.89185274  0.10814723],negative
3852,rt meanwhileincana horrific gaschemical attack in syria  how could anyone do this to innocent children assad is a madman httpstc,[ 0.89185274  0.10814723],negative
3853,"rt hamletgarcia17 children should never pay for the mistakes of adults syria     
realdonaldtrump revjjackson un usembassysyria bas",[ 0.89185274  0.10814723],negative
3854,rt loca2733mc 45 suggested obama not attack syria in 2013 now wants to blame obama on syria youre administration decided to leave ass,[ 0.89185274  0.10814723],negative
3855,"rt anfal_sk nobody puts prayforsyria   because its not europe
ok my  is with for the people of syria    syriagasattack prayfor",[ 0.89185274  0.10814723],negative
3856,rt johnkasich gov john kasich statement on the attack in syria httpstcorgxsijimxf,[ 0.89185274  0.10814723],negative
3857,rt irane_azad iran news us assad regime responsible for awful syria chemical attack eus mogherini httpstcokcpeklmsi7 http,[ 0.89185274  0.10814723],negative
3858,rt partisangirl orientnews some of the children in the chemical weapons attack appear to have been bludgeoned to death syria httpst,[ 0.89185274  0.10814723],negative
3859,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3860,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
3861,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3862,"rt bbcworld un reports chemical weapons used in idlib syria especially on civilians are extremely alarming amp disturbing

httpst",[ 0.89185274  0.10814723],negative
3863,"rt statedept secretary tillerson the united states strongly condemns the chemical weapons attack in idlib province syria
httpstco",[ 0.89185274  0.10814723],negative
3864,rt nitzanarny my thoughts and prayers today are with the people of syria   httpstco10snafggsj,[ 0.89185274  0.10814723],negative
3865,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
3866,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3867,rt snarwani 2013 us war groupie matthew van dyke tells nowatlantic council fellow eliot higgins that syria rebels have cws httpst,[ 0.89185274  0.10814723],negative
3868,"rt noiserawker tillerson trumps sos assad can stay

assad gasses civilians including young children

trump obamas fault

syria",[ 0.89185274  0.10814723],negative
3869,rt naplesresists repkinzinger chemicalattacks in syria pls be a hero again denounce assad amp save our friends httpstcodqhq1s,[ 0.89185274  0.10814723],negative
3870,omg my condolences for the victims hope syria will  revive from the myriad events massacre occuring to it in pres httpstcommahaeh8jb,[ 0.20774333  0.79225659],positive
3871,"margbrennan saw your 7pm cbsnlive report on syria amp wh response 1st time i noticed a bit of loathing in your eyes 
good for you",[ 0.06595562  0.93404442],positive
3872,rt nia4_trump death toll in syria now reportedly over 100 in 2013 the us backed rebels used sarin gas as a falseflag in attempt to,[ 0.89185274  0.10814723],negative
3873,rt iranarabspring internet campaign calls for iran to get out of syria httpstconar3bwe59x  mr_alhamdo qasioun_news revolutionsy,[ 0.89185274  0.10814723],negative
3874,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3875,"rt bvweir syria 
assad apparently gasses civilians days after tillerson hints he can stay in power httpstcoeqtjmcodf8 via thedai",[ 0.89185274  0.10814723],negative
3876,rt msrachelwolf each child in syria breaks my heart they do not deserve to suffer why are our leaders doing nothing just as they ig,[ 0.89185274  0.10814723],negative
3877,"warning graphicmedia 

another holocaust is happening now in syria and the world stands idle just like la httpstcoku8avijpfh",[ 0.40217167  0.59782839],positive
3878,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3879,rt mba_althani_ arrived in brussels big day tomorrow as qatar cochairs intl meeting on syria we continue to strive for ceasefire amp,[ 0.89185274  0.10814723],negative
3880,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3881,"rt siemaiqbal the human race at its worst

shame on us all

idlib 

syria 

syriachemicalattack",[ 0.89185274  0.10814723],negative
3882,i care syria life children httpstcoxr2oaitqne,[ 0.39086604  0.60913396],positive
3883,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3884,rt culpablecrimes trump is a horrible vile human being and every maga voter is culpable for the committing of genocide in syria https,[ 0.89185274  0.10814723],negative
3885,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3886,rt houseforeign chairman repedroyce assad must go httpstcoc4tersrylg syria,[ 0.89185274  0.10814723],negative
3887,did the trump administration just accept syrias assad regime as a fait accompli on the same day as said regime committed a war crime,[ 0.0828196   0.91718042],positive
3888,rt peterdaou obama isnt president the toughtalkers can show us how they respond to atrocities in syria httpstco1mz1mrsz5x,[ 0.89185274  0.10814723],negative
3889,rt irane_azad iran news us syria attack believed to be chemical from the air un envoy httpstcoxdtwbob0ve httpstcofndopo,[ 0.89185274  0.10814723],negative
3890,rt naplesresists sos repkinzinger we beg you to speak up for the children of syria foaming at the mouth assad httpstcodqhq1s,[ 0.89185274  0.10814723],negative
3891,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3892,rt ahmadalissa syria deputy fm miqdad syria informed opcw weeks ago that nusra imported poisonous gas,[ 0.89185274  0.10814723],negative
3893,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3894,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3895,rt abdbozkurt erdogan signals fresh military incursions into syria amp iraq says turkeys military ops spoiled amp unmasked antiisil co,[ 0.89185274  0.10814723],negative
3896,rt chriscornell just saw footage of dead children nerve gassed in syria entire families killed heart is broken syria endgenocide,[ 0.89185274  0.10814723],negative
3897,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
3898,rt dermotkeyes the pictures of the chemical attack in syria horrific,[ 0.89185274  0.10814723],negative
3899,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3900,rt naplesresists sos nikkihaley we beg you be a voice for syrian babies speak up again chemicalattacks idlib httpstcodqhq1st,[ 0.89185274  0.10814723],negative
3901,at cbs not insisting on regime change is appeasement drawing a red line then ignoring it is bold genius syria   ,[ 0.37677622  0.62322378],positive
3902,my prayers and thoughts are with the victims of the chemical attack in syria,[ 0.06595562  0.93404442],positive
3903,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
3904,rt soniakatimota mlkstudios jumping to conclusions something is not adding up in idlib chemical weapons attack syria un httpstco,[ 0.89185274  0.10814723],negative
3905,"rt sassysassyred syria
he is killing his own people httpstcojcrunrdkcq",[ 0.89185274  0.10814723],negative
3906,rt sebastianocardi syria angealfa news on chemicalweapons attack on civilian shocking   on frontline tomorrow  unsc to condemn amp a,[ 0.89185274  0.10814723],negative
3907,rt irane_azad iran news us white house condemns syria chemical attack blames assad httpstcolrajggfmic httpstcovrlxvwysvn,[ 0.89185274  0.10814723],negative
3908,rt johnkasich gov john kasich statement on the attack in syria httpstcorgxsijimxf,[ 0.89185274  0.10814723],negative
3909,"blood of all these dead children is on your hands obama yours amp yours alone

syria httpstcol6vhhqbgp2",[ 0.56579667  0.43420336],negative
3910,obamagate fresh evidence the russia scandal is a team obama operation httpstco1mdjfuo9v3  syria tigers maga tcot libcrib tpot,[ 0.20774333  0.79225659],positive
3911,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3912,rt antonellakahllo what happended in syria is inhumane my heart is broken after seeing the images of so many kids dying taking their la,[ 0.89185274  0.10814723],negative
3913,rt bonniekipperman time redlines syria assad carried chemical attack on idlib killed 100 civillians httpstco8lazuiynac,[ 0.89185274  0.10814723],negative
3914,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3915,rt senblumenthal the world must come together to end the horrific evil in syria  an atrocious crime taking world back to blackest chapt,[ 0.89185274  0.10814723],negative
3916,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
3917,rt markito0171 worldun only watch when assad regime drop chemical weapons on syrian people amp russia bomb hospital later to hide th,[ 0.89185274  0.10814723],negative
3918,rt abdussamad_aif whats happening in syria is painful to witness   ya allah make it easy for those suffering amp grant jannah to those w,[ 0.89185274  0.10814723],negative
3919,"rt alsayar these children cant breathe 
this is the aftermath of a suspectedchemical attack in syria 
_

 httpstcotwjps",[ 0.89185274  0.10814723],negative
3920,"sean sumbitch  httpstcoxggeacecdg 
trump gave them permission to do this
syria assad putin trump russiagate trumprussia",[ 0.36721578  0.63278425],positive
3921,rt laurie_holden my heart is broken for the people of syriathis is so tragic a senseless loss of life syria,[ 0.89185274  0.10814723],negative
3922,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3923,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
3924,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3925,"rt bbcbreaking uk pm theresa_may calls for investigation into suspected chemical attack in idlib syria 

httpstcojyx7wefcn0 https",[ 0.89185274  0.10814723],negative
3926,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3927,rt mba_althani_ pleased to meet federicamog in brussels today discussed agenda of syriaconf2017 and recent developments in syria ht,[ 0.89185274  0.10814723],negative
3928,mattdpearce because youre failing at life syria,[ 0.06595562  0.93404442],positive
3929,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
3930,rt reaganbattalion just in the last 24 hours syria httpstcodcsemp3yjs,[ 0.89185274  0.10814723],negative
3931,nikkihaley children are dying in syria today bc of assads chemicalattacks we beg you to help unsc httpstcozefz2dydsu,[ 0.54292786  0.4570722 ],negative
3932,zeinakhodraljaz redlines syria super terrorist assad murdered innocent children by chemical suffication httpstcoyszn246xkl,[ 0.84901243  0.15098755],negative
3933,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3934,rt nycjim 58 people including 11 children have been killed in syria in what appears to be a gas attack by govt planes httpstcoa,[ 0.89185274  0.10814723],negative
3935,rt sakirkhader syria at least 40 civilians killed tens wounded in a heavy regime chemical attack on the rebelheld town of khan sheikh,[ 0.89185274  0.10814723],negative
3936,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
3937,rt data__venia thehill that wont be hard to get around can we focus on legit problems like chemicalweapons in syria and nuclear we,[ 0.89185274  0.10814723],negative
3938,children gassed as they sleep syria idlib httpstcotgob93wep3,[ 0.49760315  0.50239688],positive
3939,trump is complicit with putin amp  assad in crimesagainsthumanity in syria assadputin assadtrump httpstco82cvmojl59,[ 0.08062018  0.91937983],positive
3940,"rt 4freedominiran most of the hospitals in idlib province are now overflowing with wounded people syria _ 
iranoutofsyria",[ 0.89185274  0.10814723],negative
3941,rt johnkasich gov john kasich statement on the attack in syria httpstcorgxsijimxf,[ 0.89185274  0.10814723],negative
3942,"rt aali4573 the so called jaysh al ezza manufacturing sarin gas and testing it 
syria
hama 
terrorists httpstcor1hvqo7xqp",[ 0.89185274  0.10814723],negative
3943,rt ziadasali there is a creeping normalization of using chemical weapons the most accessible weapon of mass destruction syria https,[ 0.89185274  0.10814723],negative
3944,rt olivierguitta each time the west caves in to butcher war criminal assad syria assad does the unthinkableanother chemical attack ag,[ 0.89185274  0.10814723],negative
3945,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3946,rt yogatailor our thoughts and prayers are with the victims and families of the gas attack in syria,[ 0.89185274  0.10814723],negative
3947,"all of the prepackaged assad is hitler tweets but still no evidence proving assad carried out a toxic gas attack on civilians
syria",[ 0.37677622  0.62322378],positive
3948,rt majedmajidy assad is killing the children of idlib syria with poisonous gas he must be stopped now redlines syria httpstcov,[ 0.89185274  0.10814723],negative
3949,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3950,realdonaldtrump lives are lost as you seek to blame others today are you not the leader of the free world httpstcohohm85usg0,[ 0.89185274  0.10814723],negative
3951,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
3952,rt statedept johnkerry today the last 8 of declared chemical weapons were removed from syria great work done by all involved http,[ 0.89185274  0.10814723],negative
3953,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3954,syria well at least thats one way to get rid of refugees,[ 0.36721578  0.63278425],positive
3955,rt lemeuss whether or not hes right realdonaldtrump focus on syria should not be why but what are we going to do about it,[ 0.89185274  0.10814723],negative
3956,rt lizziephelan mission creep acceleratingus war on isis turning into stabilising syria operation scary httpstcourigeafj1s,[ 0.89185274  0.10814723],negative
3957,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3958,rt naplesresists sos nikkihaley we beg you to speak up for the children of syria foaming at the mouth assad httpstcodqhq1stzkk,[ 0.89185274  0.10814723],negative
3959,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3960,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3961,rt statedept johnkerry today the last 8 of declared chemical weapons were removed from syria great work done by all involved http,[ 0.89185274  0.10814723],negative
3962,new quinnipiac poll trumps slide continues approval down to 35 trump supporters current status trumprussia httpstco5samiqur0t,[ 0.54292786  0.4570722 ],negative
3963,rt jcfclark1 syria  anyone blaming anyone for gassing children other than the monsters gassing children are monsters as well,[ 0.89185274  0.10814723],negative
3964,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3965,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3966,rt michaelmorrah imagine if half of nzs population was dead or forced to flee their homes thats the situation in syria right now rn,[ 0.89185274  0.10814723],negative
3967,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3968,rt anitatweets7 the lack of action taken by those in power has devastating consequences and is a crime against humanity syria,[ 0.89185274  0.10814723],negative
3969,"rt mintpressnews netanyahu doesnt care about children nor chemicalweapons  he just wants regime change in syria

httpstcorlmno",[ 0.89185274  0.10814723],negative
3970,i am at a loss for words with the images im seeing coming from syriagasattack syria,[ 0.39086604  0.60913396],positive
3971,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3972,"rt camboviet syria iraq afghanistan kurdistan 
      god bless       
all coalition troops
 deployed
and pray for them httpstcop",[ 0.89185274  0.10814723],negative
3973,"rt hamletgarcia17 children should never pay for the mistakes of adults syria     
realdonaldtrump revjjackson un usembassysyria bas",[ 0.89185274  0.10814723],negative
3974,"rt mrspock2017 important effort here for syria 

please share httpstcoyikxykxcji",[ 0.89185274  0.10814723],negative
3975,rt partisangirl why would the white helmets receive sarin respirator suits only a month before the attack syria doesnt have sarin http,[ 0.89185274  0.10814723],negative
3976,rt partisangirl tomorrow were going to create a media story about a chlorine gas attack later changed to sarin even though syria gov,[ 0.89185274  0.10814723],negative
3977,realdonaldtrump only problem is youd have to stand up to putin to stop the chemicalwarfare amp civilian carnage httpstcoboz1cfot0y,[ 0.89185274  0.10814723],negative
3978,rt maytham956 have you ever seen someone who was exposed to chemical weapons while taking a selfie well it happens only in syria http,[ 0.89185274  0.10814723],negative
3979,rt kynderaa bostonglobe redlines syria morning terror putin veto gassed children 04042017 httpstcocha161wyay,[ 0.89185274  0.10814723],negative
3980,rt senblumenthal the world must come together to end the horrific evil in syria  an atrocious crime taking world back to blackest chapt,[ 0.89185274  0.10814723],negative
3981,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3982,rt politics_pr syria and trump hypocrisy blaming syrian chemical attack on obama httpstcovhy9nycdcu tcot maga httpstcopaltt,[ 0.89185274  0.10814723],negative
3983,"rt bjarnekim idlib putin syria assad warcrimes
war crimes pay off
in the shadow of the hague 
war criminals walk
free as prorussian",[ 0.89185274  0.10814723],negative
3984,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3985,rt senblumenthal the world must come together to end the horrific evil in syria  an atrocious crime taking world back to blackest chapt,[ 0.89185274  0.10814723],negative
3986,rt partisangirl tomorrow were going to create a media story about a chlorine gas attack later changed to sarin even though syria gov,[ 0.89185274  0.10814723],negative
3987,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3988,rt i24news_en chemical weapons were repeatedly used in syria with zero accountability akshayasays tells davidshuster amp michellemakor,[ 0.89185274  0.10814723],negative
3989,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3990,rt maherzain this is outrages syria idlib prayerforsyria httpstcoaps2vhavgs,[ 0.89185274  0.10814723],negative
3991,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3992,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3993,"rt revolutionsyria was not murdered by putin_assad chemical weapons 
but by putin_assad missiles salqin syria httpstcoyoalsfxgha",[ 0.89185274  0.10814723],negative
3994,"rt mrspock2017 important effort here for syria 

please share httpstcoyikxykxcji",[ 0.89185274  0.10814723],negative
3995,rt abdussamad_aif whats happening in syria is painful to witness   ya allah make it easy for those suffering amp grant jannah to those w,[ 0.89185274  0.10814723],negative
3996,rt bonniekipperman politico redlines syrianot a hollywood movie assad regime killed them with chemical weapons httpstcopxqb,[ 0.89185274  0.10814723],negative
3997,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
3998,rt azeemwyne 18 graphicwarning a bloody day in syria 100 martyrs 400 infected children in raids with space rockets loaded with toxic s,[ 0.89185274  0.10814723],negative
3999,trump is that new guy at work who keeps blaming the last guy for his screw ups most jobs would fire you after thre httpstcooebmlqlyew,[ 0.08062018  0.91937983],positive
4000,"rt bbcbreaking uk pm theresa_may calls for investigation into suspected chemical attack in idlib syria 

httpstcojyx7wefcn0 https",[ 0.89185274  0.10814723],negative
4001,rt vanessabeeley this is beyond being objective controlled opposition at work syria doesnt need this kind of support evakbartlett,[ 0.89185274  0.10814723],negative
4002,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
4003,rt peterdaou obama isnt president the toughtalkers can show us how they respond to atrocities in syria httpstco1mz1mrsz5x,[ 0.89185274  0.10814723],negative
4004,rt getoffmylawn80 remember trump thinks the strengthening of civilization is leaving syrian people to die in chemical attacks syria htt,[ 0.89185274  0.10814723],negative
4005,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
4006,"rt noiserawker tillerson trumps sos assad can stay

assad gasses civilians including young children

trump obamas fault

syria",[ 0.89185274  0.10814723],negative
4007,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
4008,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
4009,rt michaelharrisdr seriousely tillerson all the us can do about chemical attack by syria assad is plead with russia amp iran  us i,[ 0.89185274  0.10814723],negative
4010,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
4011,sos nikkihaley we beg you to speak up for the children of syria foaming at the mouth assad httpstcodqhq1stzkk,[ 0.36721578  0.63278425],positive
4012,rt womenintheworld amid chemical gas massacre that leaves dozens of kids dead in syria alabedbana appeals to realdonaldtrump again h,[ 0.89185274  0.10814723],negative
4013,"rt markito0171 kremlin in moscow switches lights off not for chemical gas attack in syria with 100 dead yd but for earth hour 
go",[ 0.89185274  0.10814723],negative
4014,rt thetakeaway leloveluck on syria chemical attack most of the victims were sleeping women children and elderly people httpstc,[ 0.89185274  0.10814723],negative
4015,rt ukinusa more monstrous chemical attacks today in idlib uk pm theresa may clear that there is no future for assad in stable syria,[ 0.89185274  0.10814723],negative
4016,rt senblumenthal the world must come together to end the horrific evil in syria  an atrocious crime taking world back to blackest chapt,[ 0.89185274  0.10814723],negative
4017,rt tamrikot last night erdogans personal adviser had good discussions on syria with mccain today massive antisyria hysteria coinc,[ 0.89185274  0.10814723],negative
4018,rt partisangirl why would the white helmets receive sarin respirator suits only a month before the attack syria doesnt have sarin http,[ 0.89185274  0.10814723],negative
4019,rt revolutionsyria besieged douma today where tens of civilians were killed by putin_assad terror attacks syria httpstcoj25zvnfdee,[ 0.89185274  0.10814723],negative
4020,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
4021,rt abdussamad_aif whats happening in syria is painful to witness   ya allah make it easy for those suffering amp grant jannah to those w,[ 0.89185274  0.10814723],negative
4022,"rt anfal_sk nobody puts prayforsyria   because its not europe
ok my  is with for the people of syria    syriagasattack prayfor",[ 0.89185274  0.10814723],negative
4023,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
4024,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
4025,"rt hamletgarcia17 children should never pay for the mistakes of adults syria     
realdonaldtrump revjjackson un usembassysyria bas",[ 0.89185274  0.10814723],negative
4026,rt dr_e_kendall islamicstate today claimed us soldiers wounded on 23 march battling is fighters west of altabqa in syrias raqqa gover,[ 0.89185274  0.10814723],negative
4027,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
4028,"rt markito0171 kremlin in moscow switches lights off not for chemical gas attack in syria with 100 dead yd but for earth hour 
go",[ 0.89185274  0.10814723],negative
4029,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
4030,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
4031,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
4032,rt partisangirl why would the white helmets receive sarin respirator suits only a month before the attack syria doesnt have sarin http,[ 0.89185274  0.10814723],negative
4033,rt ct101st my voice may be quiet in a world of noise stop killing your own people syria httpstcoaajloe0ehj,[ 0.89185274  0.10814723],negative
4034,rt ostrov_a i hold obama responsible for the gross catastrophe unfolding in syria he had power to act but chose not to blood on his,[ 0.89185274  0.10814723],negative
4035,rt jamesreader_rp syrias anne frank just trolled donaldtrump following horrific chemicalattacks shaming us all video gtgthttpst,[ 0.89185274  0.10814723],negative
4036,nikkihaley chemicalattacks in syria pls be a hero again denounce assad amp save our friends httpstcodqhq1stzkk,[ 0.54292786  0.4570722 ],negative
4037,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
4038,rt wsvn chemical attack kills dozens in syria us blames president assad httpstcod44gx02clz httpstco4sdbrqqvzo,[ 0.89185274  0.10814723],negative
4039,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
4040,major chemical attack in syria violates international law the same day that realdonaldtrump admin announces supp httpstcobpnfu30m40,[ 0.06595562  0.93404442],positive
4041,rt cafreeland as a mother my heart breaks watching images of children writhing in pain after reported chemicalattack in idlib syria,[ 0.89185274  0.10814723],negative
4042,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
4043,rt radiofreetom this revisionist history about obama being shut down by congress in syria is among the worst kinds of bullshit there is,[ 0.89185274  0.10814723],negative
4044,rt msf_syria medical staff at msfsupported latamneh hospital in syrias north hama suggest the use of chemical weapons during march 25,[ 0.89185274  0.10814723],negative
4045,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
4046,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
4047,tillersonusa  we have values in america one of them is that we always oppose use of chemical weapons did you not know that syria,[ 0.08062018  0.91937983],positive
4048,rt usembassysyria secretary tillerson the united states strongly condemns the chemical weapons attack in idlib province syria https,[ 0.89185274  0.10814723],negative
4049,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
4050,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
4051,rt nycjim 58 people including 11 children have been killed in syria in what appears to be a gas attack by govt planes httpstcoa,[ 0.89185274  0.10814723],negative
